# eleattr
37
# eleattr rho mu_r epsilon_r
1 1e+16 1.0 1.0
2 10000.0 1.0 4.0
3 10000.0 1.0 20
4 10000.0 1.0 4.0
5 1e+16 1.0 1.0
6 10000.0 1.0 4.0
7 1e+16 1.0 1.0
8 10000.0 1.0 4.0
9 1e+16 1.0 1.0
10 10000.0 1.0 4.0
11 1e+16 1.0 1.0
12 1e+16 1.0 1.0
13 10000.0 1.0 4.0
14 10000.0 1.0 4.0
15 1e+16 1.0 1.0
16 10000.0 1.0 4.0
17 1e+16 1.0 1.0
18 10000.0 1.0 4.0
19 1e+16 1.0 1.0
20 10000.0 1.0 4.0
21 1e+16 1.0 1.0
22 1e+16 1.0 1.0
23 1e+16 1.0 1.0
24 1e+16 1.0 1.0
25 1e+16 1.0 1.0
26 10000.0 1.0 4.0
27 10000.0 1.0 4.0
28 10000.0 1.0 4.0
29 10000.0 1.0 4.0
30 1e+16 1.0 1.0
31 1e+16 1.0 1.0
32 1e+16 1.0 1.0
33 1e+16 1.0 1.0
34 10000.0 1.0 4.0
35 10000.0 1.0 4.0
36 10000.0 1.0 4.0
37 10000.0 1.0 4.0
